x,y,z,
0.933217,0.114037,0.000627735,
0.931555,0.108028,0.000624977,
0.929892,0.102018,0.000622218,
0.92823,0.0960084,0.000619459,
0.926568,0.0899989,0.0006167,
0.924905,0.0839893,0.000613942,
0.923243,0.0779797,0.000611183,
0.92158,0.0719701,0.000608425,
0.919918,0.0659606,0.000605667,
0.918256,0.059951,0.000602909,
0.916593,0.0539414,0.000600151,
0.914931,0.0479318,0.000597393,
0.913268,0.0419223,0.000594635,
0.911606,0.0359127,0.000591877,
0.909944,0.0299031,0.000589119,
0.908281,0.0238935,0.000586361,
0.906619,0.017884,0.000583603,
0.904956,0.0118744,0.000580845,
0.903294,0.00586483,0.000578087,

